,Molecule ChEMBL ID,Standard Value,Smiles,Receptor_class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
420,CHEMBL3358966,100000.0,COc1cc(-c2nc(-c3c[nH]c4ccccc34)c[nH]c2=O)cc(OC)c1OC,inactive,377.40000000000026,3.6110000000000015,5.0,2.0,4.0
421,CHEMBL373853,300.0,Cc1cc([N+](=O)[O-])ccc1C1=CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1,active,414.46200000000033,1.7826199999999994,6.0,3.0,6.522878745280337
422,CHEMBL3814812,12.1,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCCN5CCOCC5)cc34)cc2Cl)c1,active,581.1170000000004,5.753600000000004,7.0,3.0,7.91721462968355
423,CHEMBL65376,3800.0,O=C(CCCC(=O)Oc1ccc(/C=C/[N+](=O)[O-])cc1)OCc1ccco1,intermediate,359.3340000000001,3.3461000000000016,7.0,0.0,5.42021640338319
424,CHEMBL3932057,100.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NCc4ccc(C(=O)NO)cc4)cc3)cc12)c1ccccc1,active,478.55600000000015,5.529100000000003,6.0,5.0,7.0
425,CHEMBL3971713,10000.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CNCc4ccc(/C=C/C(=O)NO)cc4)cc3)cc12)c1ccccc1,inactive,518.6210000000002,5.606400000000003,6.0,5.0,5.0
426,CHEMBL3945555,120.0,O=C(CBr)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(Oc5cccc(C(F)(F)F)c5)c(Cl)c4)c3cc21,active,637.796,6.683900000000003,9.0,1.0,6.920818753952375
427,CHEMBL53898,35000.0,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,inactive,322.364,2.753780000000001,4.0,3.0,4.455931955649724
428,CHEMBL4277610,10000.0,N#CN[C@H]1C[C@@H](NS(=O)(=O)c2cccc(F)c2)c2ccc(-c3ncnc4[nH]ccc34)cc21,inactive,448.4830000000002,3.299080000000001,6.0,3.0,5.0
429,CHEMBL3114699,930.0,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,active,455.5180000000004,2.9685000000000015,7.0,1.0,6.031517051446065
430,CHEMBL461139,10000.0,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,inactive,413.4810000000003,3.315800000000002,5.0,2.0,5.0
431,CHEMBL269528,53500.0,N#Cc1n[nH]nc1-c1ccccc1,inactive,170.175,1.3433799999999998,3.0,1.0,4.2716462179787715
432,CHEMBL1784725,10000.0,CCOC(=O)C1=C2C(=NC1=O)c1cccc3cccc2c13,inactive,277.27900000000005,2.4994000000000005,3.0,0.0,5.0
433,CHEMBL1088633,10000.0,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,inactive,306.19200000000006,4.395500000000002,2.0,0.0,5.0
434,CHEMBL496628,18.0,O=C(NO)[C@H]1C[C@@H](CC(=O)N2CCCCC2)CC[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,active,456.58700000000016,2.2756999999999996,5.0,2.0,7.7447274948966935
435,CHEMBL59145,12022.64,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1Cl,inactive,299.71299999999997,3.541080000000001,4.0,2.0,4.920000156997057
436,CHEMBL272929,180.0,NC(=O)COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,active,435.87100000000015,3.8649000000000022,7.0,2.0,6.7447274948966935
437,CHEMBL179458,800.0,COc1cc2ncc(C#N)c(Nc3ccc(-n4ccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,active,501.9780000000003,4.754080000000003,8.0,2.0,6.096910013008056
